arch,seed,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
widelenet,0,1e-06,diag,0.1,probit,5,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,0.0678100436925888,0.017387883737683296,0.9889000058174133,0.027983447536826134
widelenet,0,1e-06,diag,0.1,probit,15,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,0.14124943315982819,0.038629479706287384,0.9768000245094299,0.061640966683626175
widelenet,0,1e-06,diag,0.1,probit,30,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,0.540453314781189,0.10466744005680084,0.8949999809265137,0.2173839807510376
widelenet,0,1e-06,diag,0.1,probit,45,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,1.4962111711502075,0.203193798661232,0.6753000020980835,0.5424544811248779
widelenet,0,1e-06,diag,0.1,probit,60,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,2.7422430515289307,0.36871612071990967,0.41359999775886536,0.9294107556343079
widelenet,0,1e-06,diag,0.1,probit,90,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,4.214864253997803,0.5126667022705078,0.18529999256134033,1.250195026397705
widelenet,0,1e-06,diag,0.1,probit,120,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,4.667652130126953,0.5089983940124512,0.21140000224113464,1.2429949045181274
widelenet,0,1e-06,diag,0.1,probit,160,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,4.715132236480713,0.4580560624599457,0.359499990940094,1.0721642971038818
widelenet,0,1e-06,diag,0.1,probit,180,0.05124354362487793,0.013285595923662186,0.9919999837875366,0.020901311188936234,5.492176055908203,0.47158578038215637,0.387800008058548,1.069242000579834
widelenet,42,1e-06,diag,0.1,probit,5,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,0.051116395741701126,0.005459595937281847,0.9869999885559082,0.0216623954474926
