arch,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
resnet18,1e-06,diag,0.1,bridge,15,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,2.184129317601522,0.17051328190912798,0.7794666886329651,0.3957866703470548
resnet18,1e-06,diag,0.1,bridge,45,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,2.2337063550949097,0.25022269288698834,0.5800999999046326,0.6722889343897501
resnet18,1e-06,diag,0.1,bridge,80,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,4.701077779134114,0.5690535505612692,0.1889666666587194,1.3007235924402873
resnet18,1e-06,diag,0.1,bridge,170,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,3.7483492692311606,0.4622268279393514,0.39070000251134235,1.035412311553955
resnet18,1e-06,diag,0.1,probit,15,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,0.39015065630276996,0.17192825178305304,0.9730000098546346,0.16556356350580848
resnet18,1e-06,diag,0.1,probit,45,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,1.5303943554560344,0.2078418930371602,0.6295333305994669,0.6074005564053854
resnet18,1e-06,diag,0.1,probit,80,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,3.6436811288197837,0.5344418088595072,0.1920999983946482,1.2647693554560344
resnet18,1e-06,diag,0.1,probit,170,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,3.201124588648478,0.4302976230780284,0.39186667402585346,1.0340322454770405
resnet18,1e-06,diag,0.5,bridge,15,2.8858579198519387,0.23379462709029517,0.7221333384513855,0.4996521770954132,2.171439448992411,0.1692638167490562,0.7806999882062277,0.39346519112586975
resnet18,1e-06,diag,0.5,bridge,45,2.8858579198519387,0.23379462709029517,0.7221333384513855,0.4996521770954132,2.232879082361857,0.2500635683536529,0.5803000132242838,0.6719353596369425
resnet18,1e-06,diag,0.5,bridge,80,2.8858579198519387,0.23379462709029517,0.7221333384513855,0.4996521770954132,4.700396219889323,0.5690265695254008,0.1889666666587194,1.3006924788157146
resnet18,1e-06,diag,0.5,bridge,170,2.8858579198519387,0.23379462709029517,0.7221333384513855,0.4996521770954132,3.7465286254882812,0.46195270617802936,0.39089999596277863,1.0349188049634297
resnet18,1e-06,diag,0.5,probit,15,0.842893123626709,0.4393403430779775,0.9904999931653341,0.34759024779001874,0.6816518704096476,0.33259338140487665,0.9726666808128357,0.27844710151354474
resnet18,1e-06,diag,0.5,probit,45,0.842893123626709,0.4393403430779775,0.9904999931653341,0.34759024779001874,1.4357432921727498,0.14730590333541235,0.6295333107312521,0.6016785899798075
resnet18,1e-06,diag,0.5,probit,80,0.842893123626709,0.4393403430779775,0.9904999931653341,0.34759024779001874,2.777352492014567,0.36665241916974384,0.1926999986171722,1.089671532313029
resnet18,1e-06,diag,0.5,probit,170,0.842893123626709,0.4393403430779775,0.9904999931653341,0.34759024779001874,2.4126322269439697,0.3071064601341883,0.3926333288351695,0.935278574625651
resnet18,1e-06,diag,1.0,bridge,15,2.8591495752334595,0.231880663583676,0.7239000201225281,0.49551935493946075,2.15596271554629,0.16746948783596358,0.7819999853769938,0.3905247052510579
resnet18,1e-06,diag,1.0,bridge,45,2.8591495752334595,0.231880663583676,0.7239000201225281,0.49551935493946075,2.2318819761276245,0.24997318287690476,0.5804333488146464,0.6715086499849955
resnet18,1e-06,diag,1.0,bridge,80,2.8591495752334595,0.231880663583676,0.7239000201225281,0.49551935493946075,4.699581146240234,0.5689959526062012,0.1889666666587194,1.300654649734497
resnet18,1e-06,diag,1.0,bridge,170,2.8591495752334595,0.231880663583676,0.7239000201225281,0.49551935493946075,3.7443222204844155,0.46162914236386615,0.39113332827885944,1.0343042413393657
resnet18,1e-06,diag,1.0,probit,15,1.053901195526123,0.5458904306093851,0.9904999931653341,0.43320653835932416,0.8716030915578207,0.4418938656648,0.9725666642189026,0.352890948454539
resnet18,1e-06,diag,1.0,probit,45,1.053901195526123,0.5458904306093851,0.9904999931653341,0.43320653835932416,1.4746116399765015,0.15803735703229901,0.6292000015576681,0.6158307790756226
resnet18,1e-06,diag,1.0,probit,80,1.053901195526123,0.5458904306093851,0.9904999931653341,0.43320653835932416,2.5278218587239585,0.26984672745068866,0.19263333082199094,1.0080557862917583
resnet18,1e-06,diag,1.0,probit,170,1.053901195526123,0.5458904306093851,0.9904999931653341,0.43320653835932416,2.205921173095703,0.22502825657526648,0.39286667108535767,0.8817287882169088
resnet18,1e-06,kron,0.1,bridge,15,0.03582453727722163,0.005067210954924367,0.9907333254814148,0.015241585671901666,0.10306910922129943,0.0119932452216744,0.9734333356221517,0.042789726207653624
resnet18,1e-06,kron,0.1,bridge,45,0.03582453727722163,0.005067210954924367,0.9907333254814148,0.015241585671901666,1.6961746613184612,0.21712390085061387,0.6298333406448364,0.5851402878761292
resnet18,1e-06,kron,0.1,bridge,80,0.03582453727722163,0.005067210954924367,0.9907333254814148,0.015241585671901666,4.756600538889567,0.5753292640050253,0.19389999906222025,1.3132458925247192
resnet18,1e-06,kron,0.1,bridge,170,0.03582453727722163,0.005067210954924367,0.9907333254814148,0.015241585671901666,5.256332715352376,0.4951537847518921,0.3845333357652028,1.0821683804194133
resnet18,1e-06,kron,0.1,probit,15,2.2538908322652182,0.8856786688168844,0.9907000064849854,0.8900118072827657,2.2649782498677573,0.8696985046068827,0.9735666513442993,0.89232071240743
resnet18,1e-06,kron,0.1,probit,45,2.2538908322652182,0.8856786688168844,0.9907000064849854,0.8900118072827657,2.289596160252889,0.5279423793156942,0.6295333305994669,0.8973734974861145
resnet18,1e-06,kron,0.1,probit,80,2.2538908322652182,0.8856786688168844,0.9907000064849854,0.8900118072827657,2.2999880313873295,0.09023523827393846,0.19133333365122474,0.8994772036870321
resnet18,1e-06,kron,0.1,probit,170,2.2538908322652182,0.8856786688168844,0.9907000064849854,0.8900118072827657,2.296020984649658,0.2876266539096832,0.3894333342711131,0.8986608187357584
resnet18,1e-06,kron,0.5,bridge,15,0.034904258946577636,0.005056627405186433,0.9907666643460592,0.0151836592704057,0.10307456056276953,0.012016906092564233,0.973466674486796,0.04278849686185517
resnet18,1e-06,kron,0.5,bridge,45,0.034904258946577636,0.005056627405186433,0.9907666643460592,0.0151836592704057,1.6962582270304363,0.2172890603542328,0.6297666629155477,0.5851244529088339
resnet18,1e-06,kron,0.5,bridge,80,0.034904258946577636,0.005056627405186433,0.9907666643460592,0.0151836592704057,4.756646633148193,0.5754392941792806,0.1937666634718577,1.3132530053456624
resnet18,1e-06,kron,0.5,bridge,170,0.034904258946577636,0.005056627405186433,0.9907666643460592,0.0151836592704057,5.256225109100342,0.4951554834842682,0.3845333357652028,1.082109014193217
resnet18,1e-06,kron,0.5,probit,15,2.273365338643392,0.8877232869466146,0.9907000064849854,0.894068717956543,2.279200871785482,0.871183435122172,0.9735666513442993,0.8952643473943075
resnet18,1e-06,kron,0.5,probit,45,2.273365338643392,0.8877232869466146,0.9907000064849854,0.894068717956543,2.293778340021769,0.5284443298975626,0.6295333305994669,0.8982264995574951
resnet18,1e-06,kron,0.5,probit,80,2.273365338643392,0.8877232869466146,0.9907000064849854,0.894068717956543,2.300787607828776,0.09054064750671383,0.19133333365122474,0.8996390700340271
resnet18,1e-06,kron,0.5,probit,170,2.273365338643392,0.8877232869466146,0.9907000064849854,0.894068717956543,2.2982752323150635,0.2882211407025655,0.3894333342711131,0.8991273442904154
resnet18,1e-06,kron,1.0,bridge,15,0.03490404039621347,0.0050581141064564,0.9907666643460592,0.015180173640449832,0.10306929796934124,0.012080286008616234,0.973466674486796,0.042792990803718504
resnet18,1e-06,kron,1.0,bridge,45,0.03490404039621347,0.0050581141064564,0.9907666643460592,0.015180173640449832,1.6962970892588298,0.21747315426667524,0.6297666629155477,0.5851269563039144
resnet18,1e-06,kron,1.0,bridge,80,0.03490404039621347,0.0050581141064564,0.9907666643460592,0.015180173640449832,4.7567141850789385,0.5754803021748861,0.19380000233650208,1.3132657607396443
resnet18,1e-06,kron,1.0,bridge,170,0.03490404039621347,0.0050581141064564,0.9907666643460592,0.015180173640449832,5.256110191345215,0.49517179528872174,0.3845333258310954,1.0821069876352947
resnet18,1e-06,kron,1.0,probit,15,2.2791600227355957,0.8883219559987386,0.9907000064849854,0.8952594995498657,2.283463637034098,0.8716228802998861,0.9735666513442993,0.8961371779441833
resnet18,1e-06,kron,1.0,probit,45,2.2791600227355957,0.8883219559987386,0.9907000064849854,0.8952594995498657,2.2950357596079507,0.5285947124163309,0.6295333305994669,0.8984815080960592
resnet18,1e-06,kron,1.0,probit,80,2.2791600227355957,0.8883219559987386,0.9907000064849854,0.8952594995498657,2.301026026407878,0.09063305954138434,0.19133333365122474,0.8996871709823608
resnet18,1e-06,kron,1.0,probit,170,2.2791600227355957,0.8883219559987386,0.9907000064849854,0.8952594995498657,2.2989418506622314,0.28839890162150067,0.3894333342711131,0.8992639581362406
resnet18,0.0001,diag,0.1,bridge,15,2.5122388203938804,0.18916360909740126,0.7596666614214579,0.4147003988424937,1.9493557512760162,0.13409194163978097,0.8097666700681051,0.32845692833264667
resnet18,0.0001,diag,0.1,bridge,45,2.5122388203938804,0.18916360909740126,0.7596666614214579,0.4147003988424937,2.216564178466797,0.2471678853034973,0.5839999914169312,0.6665051976839701
resnet18,0.0001,diag,0.1,bridge,80,2.5122388203938804,0.18916360909740126,0.7596666614214579,0.4147003988424937,4.690237045288086,0.5690372387568156,0.18896666665871933,1.3007605870564778
resnet18,0.0001,diag,0.1,bridge,170,2.5122388203938804,0.18916360909740126,0.7596666614214579,0.4147003988424937,3.7146738370259604,0.4558814565340678,0.3953999976317088,1.023845116297404
resnet18,0.0001,diag,0.1,probit,15,0.4664744238058726,0.25512221952279407,0.9905999898910522,0.19788281122843418,0.38939815759658813,0.1716083039840062,0.9730000098546346,0.16522886852423346
resnet18,0.0001,diag,0.1,probit,45,0.4664744238058726,0.25512221952279407,0.9905999898910522,0.19788281122843418,1.5302420854568481,0.20774109661579132,0.6295333305994669,0.6073316931724548
resnet18,0.0001,diag,0.1,probit,80,0.4664744238058726,0.25512221952279407,0.9905999898910522,0.19788281122843418,3.6438329219818115,0.5344699025154114,0.1920999983946482,1.2647980451583862
resnet18,0.0001,diag,0.1,probit,170,0.4664744238058726,0.25512221952279407,0.9905999898910522,0.19788281122843418,3.201415459314982,0.4303780297438304,0.39186667402585346,1.0340691804885864
resnet18,0.0001,diag,0.5,bridge,15,2.1588170180718103,0.13566185285647706,0.8208666642506918,0.308080106973648,1.7044986883799236,0.10142772085964676,0.8533333341280619,0.26030028114716214
resnet18,0.0001,diag,0.5,bridge,45,2.1588170180718103,0.13566185285647706,0.8208666642506918,0.308080106973648,2.1585750182469687,0.2439312587181727,0.5883666674296061,0.6586777170499166
resnet18,0.0001,diag,0.5,bridge,80,2.1588170180718103,0.13566185285647706,0.8208666642506918,0.308080106973648,4.679103056589763,0.5702278216679891,0.18903333445390058,1.302349368731181
resnet18,0.0001,diag,0.5,bridge,170,2.1588170180718103,0.13566185285647706,0.8208666642506918,0.308080106973648,3.6678195794423423,0.4372965892155965,0.4149666627248128,0.9994550148646035
resnet18,0.0001,diag,0.5,probit,15,0.838342527548472,0.4379587173461914,0.9904999931653341,0.3457733988761902,0.6791778206825256,0.3317883511384328,0.9726666808128357,0.2774705390135447
resnet18,0.0001,diag,0.5,probit,45,0.838342527548472,0.4379587173461914,0.9904999931653341,0.3457733988761902,1.4351452986399333,0.14710100243488944,0.6295333107312521,0.6014704902966818
resnet18,0.0001,diag,0.5,probit,80,0.838342527548472,0.4379587173461914,0.9904999931653341,0.3457733988761902,2.7775270144144693,0.3667672375837962,0.1926999986171722,1.0897775888442993
resnet18,0.0001,diag,0.5,probit,170,0.838342527548472,0.4379587173461914,0.9904999931653341,0.3457733988761902,2.4128764470418296,0.30726054310798645,0.3925666610399882,0.9352850317955017
resnet18,0.0001,diag,1.0,bridge,15,1.9297565271457036,0.11547321577866866,0.8462999860445658,0.27238960812489194,1.5142213553190231,0.09166654199361797,0.8698333303133646,0.23641867687304807
