arch,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
resnet18,1e-06,diag,0.1,bridge,5,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,2.4040054927269616,0.1919308938086032,0.7624333500862122,0.4259747564792633
resnet18,1e-06,diag,0.1,bridge,15,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,2.184129317601522,0.17051328190912798,0.7794666886329651,0.3957866703470548
resnet18,1e-06,diag,0.1,bridge,30,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,1.751295546690623,0.14853167533874512,0.7598999937375387,0.4059530744949977
resnet18,1e-06,diag,0.1,bridge,45,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,2.2337063550949097,0.25022269288698834,0.5800999999046326,0.6722889343897501
resnet18,1e-06,diag,0.1,bridge,60,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,3.5225417613983154,0.429622878630956,0.34173333644866943,1.04094664255778
resnet18,1e-06,diag,0.1,bridge,90,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,5.059704303741455,0.6085763374964396,0.16496666272481278,1.3573952515920003
resnet18,1e-06,diag,0.1,bridge,120,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,4.576244036356608,0.54374560713768,0.2422666698694229,1.2437296708424885
resnet18,1e-06,diag,0.1,bridge,160,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,3.6521476109822593,0.4665434956550598,0.3753666679064433,1.0495612025260925
resnet18,1e-06,diag,0.1,bridge,180,2.907861669858297,0.2353210560977459,0.7206666668256124,0.502942681312561,4.167664130528768,0.47821996609369916,0.38830000162124634,1.0547247529029846
resnet18,1e-06,diag,0.1,probit,5,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,0.3624923030535379,0.18678467472394303,0.9854000012079874,0.15134257078170768
resnet18,1e-06,diag,0.1,probit,15,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,0.39015065630276996,0.17192825178305304,0.9730000098546346,0.16556356350580848
resnet18,1e-06,diag,0.1,probit,30,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,0.6453340252240499,0.13636826972166693,0.8776000142097473,0.2744234204292297
resnet18,1e-06,diag,0.1,probit,45,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,1.5303943554560344,0.2078418930371602,0.6295333305994669,0.6074005564053854
resnet18,1e-06,diag,0.1,probit,60,0.4679209887981415,0.2556871821482976,0.9905999898910522,0.1985284586747487,2.7146437962849936,0.39474544922510785,0.35723333557446796,1.0034855405489604
